Changed database context to 'Northwind'.
QuocGia         SoLuongKH  
--------------- -----------
USA                      13
France                   11
Germany                  11
Brazil                    9
UK                        7
Spain                     5
Mexico                    5
Venezuela                 4
Italy                     3
Canada                    3
Argentina                 3
Austria                   2
Belgium                   2
Denmark                   2
Finland                   2
Portugal                  2
Sweden                    2
Switzerland               2
Norway                    1
Poland                    1
Ireland                   1

(21 rows affected)
LastName             FirstName 
-------------------- ----------
Davolio              Nancy     
Fuller               Andrew    
Leverling            Janet     
Peacock              Margaret  
Buchanan             Steven    
Suyama               Michael   
King                 Robert    
Callahan             Laura     
Dodsworth            Anne      

(9 rows affected)
